sku,status,needs_reshoot,w,h,circularity,inpaint_px,source,master_path,compare_path,notes
otc026,SOFT_NEEDS_RESHOOT,yes,276,295,,12510,/workspace/ducor-pharmacy/assets/products/otc026.jpg,/workspace/ducor-launch/product-image-standard/masters/otc026@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/otc026-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/otc026.jpg;colorful;isnet;inpaint=12510
otc042,SOFT_NEEDS_RESHOOT,yes,276,296,,5327,/workspace/ducor-pharmacy/assets/products/otc042.jpg,/workspace/ducor-launch/product-image-standard/masters/otc042@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/otc042-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/otc042.jpg;colorful;isnet;inpaint=5327
otc052,SOFT_NEEDS_RESHOOT,yes,276,296,,9245,/workspace/ducor-pharmacy/assets/products/otc052.jpg,/workspace/ducor-launch/product-image-standard/masters/otc052@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/otc052-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/otc052.jpg;colorful;isnet;inpaint=9245
otc053,SOFT_NEEDS_RESHOOT,yes,276,296,,6406,/workspace/ducor-pharmacy/assets/products/otc053.jpg,/workspace/ducor-launch/product-image-standard/masters/otc053@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/otc053-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/otc053.jpg;colorful;isnet;inpaint=6406
otc057,SOFT_NEEDS_RESHOOT,yes,276,296,,3224,/workspace/ducor-pharmacy/assets/products/otc057.jpg,/workspace/ducor-launch/product-image-standard/masters/otc057@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/otc057-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/otc057.jpg;colorful;isnet;inpaint=3224
otc059,SOFT_NEEDS_RESHOOT,yes,276,295,,5008,/workspace/ducor-pharmacy/assets/products/otc059.jpg,/workspace/ducor-launch/product-image-standard/masters/otc059@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/otc059-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/otc059.jpg;colorful;isnet;inpaint=5008
rx006,SOFT_NEEDS_RESHOOT,yes,276,296,,488,/workspace/ducor-pharmacy/assets/products/rx006.jpg,/workspace/ducor-launch/product-image-standard/masters/rx006@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx006-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx006.jpg;whiteish;bbox;inpaint=488
rx007,SOFT_NEEDS_RESHOOT,yes,276,296,,680,/workspace/ducor-pharmacy/assets/products/rx007.jpg,/workspace/ducor-launch/product-image-standard/masters/rx007@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx007-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx007.jpg;whiteish;bbox;inpaint=680
rx009,SOFT_NEEDS_RESHOOT,yes,276,296,,593,/workspace/ducor-pharmacy/assets/products/rx009.jpg,/workspace/ducor-launch/product-image-standard/masters/rx009@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx009-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx009.jpg;whiteish;bbox;inpaint=593
rx018,SOFT_NEEDS_RESHOOT,yes,276,296,,2021,/workspace/ducor-pharmacy/assets/products/rx018.jpg,/workspace/ducor-launch/product-image-standard/masters/rx018@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx018-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx018.jpg;whiteish;bbox;inpaint=2021
rx019,SOFT_NEEDS_RESHOOT,yes,276,296,,1487,/workspace/ducor-pharmacy/assets/products/rx019.jpg,/workspace/ducor-launch/product-image-standard/masters/rx019@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx019-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx019.jpg;whiteish;bbox;inpaint=1487
rx021,SOFT_NEEDS_RESHOOT,yes,276,296,,632,/workspace/ducor-pharmacy/assets/products/rx021.jpg,/workspace/ducor-launch/product-image-standard/masters/rx021@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx021-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx021.jpg;whiteish;bbox;inpaint=632
rx022,SOFT_NEEDS_RESHOOT,yes,276,296,,754,/workspace/ducor-pharmacy/assets/products/rx022.jpg,/workspace/ducor-launch/product-image-standard/masters/rx022@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx022-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx022.jpg;whiteish;bbox;inpaint=754
rx032,SOFT_NEEDS_RESHOOT,yes,276,295,,1503,/workspace/ducor-pharmacy/assets/products/rx032.jpg,/workspace/ducor-launch/product-image-standard/masters/rx032@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx032-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx032.jpg;whiteish;bbox;inpaint=1503
rx033,SOFT_NEEDS_RESHOOT,yes,276,295,,815,/workspace/ducor-pharmacy/assets/products/rx033.jpg,/workspace/ducor-launch/product-image-standard/masters/rx033@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx033-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx033.jpg;whiteish;bbox;inpaint=815
rx034,SOFT_NEEDS_RESHOOT,yes,276,295,,960,/workspace/ducor-pharmacy/assets/products/rx034.jpg,/workspace/ducor-launch/product-image-standard/masters/rx034@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx034-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx034.jpg;whiteish;bbox;inpaint=960
rx035,SOFT_NEEDS_RESHOOT,yes,276,295,,1089,/workspace/ducor-pharmacy/assets/products/rx035.jpg,/workspace/ducor-launch/product-image-standard/masters/rx035@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx035-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx035.jpg;whiteish;bbox;inpaint=1089
rx036,SOFT_NEEDS_RESHOOT,yes,276,295,,1411,/workspace/ducor-pharmacy/assets/products/rx036.jpg,/workspace/ducor-launch/product-image-standard/masters/rx036@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx036-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx036.jpg;whiteish;bbox;inpaint=1411
rx040,SOFT_NEEDS_RESHOOT,yes,276,295,,867,/workspace/ducor-pharmacy/assets/products/rx040.jpg,/workspace/ducor-launch/product-image-standard/masters/rx040@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx040-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx040.jpg;whiteish;bbox;inpaint=867
rx041,SOFT_NEEDS_RESHOOT,yes,276,295,,7536,/workspace/ducor-pharmacy/assets/products/rx041.jpg,/workspace/ducor-launch/product-image-standard/masters/rx041@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx041-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx041.jpg;colorful;isnet;inpaint=7536
rx042,SOFT_NEEDS_RESHOOT,yes,276,295,,1420,/workspace/ducor-pharmacy/assets/products/rx042.jpg,/workspace/ducor-launch/product-image-standard/masters/rx042@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx042-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx042.jpg;whiteish;bbox;inpaint=1420
rx059,SOFT_NEEDS_RESHOOT,yes,276,295,,3327,/workspace/ducor-pharmacy/assets/products/rx059.jpg,/workspace/ducor-launch/product-image-standard/masters/rx059@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx059-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx059.jpg;colorful;isnet;inpaint=3327
rx064,SOFT_NEEDS_RESHOOT,yes,276,295,,3269,/workspace/ducor-pharmacy/assets/products/rx064.jpg,/workspace/ducor-launch/product-image-standard/masters/rx064@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx064-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx064.jpg;colorful;isnet;inpaint=3269
rx066,SOFT_NEEDS_RESHOOT,yes,276,295,,1876,/workspace/ducor-pharmacy/assets/products/rx066.jpg,/workspace/ducor-launch/product-image-standard/masters/rx066@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx066-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx066.jpg;whiteish;bbox;inpaint=1876
rx076,SOFT_NEEDS_RESHOOT,yes,276,296,,961,/workspace/ducor-pharmacy/assets/products/rx076.jpg,/workspace/ducor-launch/product-image-standard/masters/rx076@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx076-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx076.jpg;whiteish;bbox;inpaint=961
rx077,SOFT_NEEDS_RESHOOT,yes,276,296,,1683,/workspace/ducor-pharmacy/assets/products/rx077.jpg,/workspace/ducor-launch/product-image-standard/masters/rx077@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx077-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx077.jpg;whiteish;bbox;inpaint=1683
rx082,SOFT_NEEDS_RESHOOT,yes,276,296,,851,/workspace/ducor-pharmacy/assets/products/rx082.jpg,/workspace/ducor-launch/product-image-standard/masters/rx082@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx082-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx082.jpg;whiteish;bbox;inpaint=851
rx092,SOFT_NEEDS_RESHOOT,yes,276,295,,1404,/workspace/ducor-pharmacy/assets/products/rx092.jpg,/workspace/ducor-launch/product-image-standard/masters/rx092@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx092-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx092.jpg;whiteish;bbox;inpaint=1404
rx092b,SOFT_NEEDS_RESHOOT,yes,276,295,,9077,/workspace/ducor-pharmacy/assets/products/rx092b.jpg,/workspace/ducor-launch/product-image-standard/masters/rx092b@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx092b-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx092b.jpg;colorful;isnet;inpaint=9077
rx095,SOFT_NEEDS_RESHOOT,yes,276,296,,2393,/workspace/ducor-pharmacy/assets/products/rx095.jpg,/workspace/ducor-launch/product-image-standard/masters/rx095@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx095-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx095.jpg;whiteish;bbox;inpaint=2393
rx100,SOFT_NEEDS_RESHOOT,yes,276,295,,10289,/workspace/ducor-pharmacy/assets/products/rx100.jpg,/workspace/ducor-launch/product-image-standard/masters/rx100@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx100-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx100.jpg;colorful;isnet;inpaint=10289
rx107,SOFT_NEEDS_RESHOOT,yes,276,296,,4446,/workspace/ducor-pharmacy/assets/products/rx107.jpg,/workspace/ducor-launch/product-image-standard/masters/rx107@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx107-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx107.jpg;colorful;isnet;inpaint=4446
rx110,SOFT_NEEDS_RESHOOT,yes,276,295,,2754,/workspace/ducor-pharmacy/assets/products/rx110.jpg,/workspace/ducor-launch/product-image-standard/masters/rx110@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx110-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx110.jpg;whiteish;bbox;inpaint=2754
rx113,SOFT_NEEDS_RESHOOT,yes,276,295,,1255,/workspace/ducor-pharmacy/assets/products/rx113.jpg,/workspace/ducor-launch/product-image-standard/masters/rx113@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx113-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx113.jpg;whiteish;bbox;inpaint=1255
rx120,SOFT_NEEDS_RESHOOT,yes,276,295,,582,/workspace/ducor-pharmacy/assets/products/rx120.jpg,/workspace/ducor-launch/product-image-standard/masters/rx120@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx120-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx120.jpg;whiteish;bbox;inpaint=582
rx122,SOFT_NEEDS_RESHOOT,yes,276,295,,4346,/workspace/ducor-pharmacy/assets/products/rx122.jpg,/workspace/ducor-launch/product-image-standard/masters/rx122@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx122-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx122.jpg;colorful;isnet;inpaint=4346
rx123,SOFT_NEEDS_RESHOOT,yes,276,295,,642,/workspace/ducor-pharmacy/assets/products/rx123.jpg,/workspace/ducor-launch/product-image-standard/masters/rx123@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx123-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx123.jpg;whiteish;bbox;inpaint=642
rx129,SOFT_NEEDS_RESHOOT,yes,276,295,,1199,/workspace/ducor-pharmacy/assets/products/rx129.jpg,/workspace/ducor-launch/product-image-standard/masters/rx129@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx129-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/rx129.jpg;whiteish;bbox;inpaint=1199
